,created_at,description,friends_count,id,lang,location,name,screen_name,text,time_zone,verified
115,Wed Sep 23 15:41:26 +0000 2015,i love you like a love song baby!,19.0,6.467109738568049e+17,es,san luis talpa,Claudio Fermín,ClaudioFermn,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,22.0
116,Wed Sep 23 15:41:26 +0000 2015,las mejores #noticias sobre #politica y #economia al minuto. indígnate tu mismo. #ppsoe cuenta asociada a @noticiasespania,3968.0,6.467109745865769e+17,es,españa,Economía y Política,tuitPoliticaEs,dimite el presidente de   tras el escándalo de las emisiones de gases huffingtonpost,madrid,4819.0
117,Wed Sep 23 15:41:26 +0000 2015,de caceres  extremadura  ejerciendo de madre y abuela,140.0,6.467109773591265e+17,es,caceres,Tonisanchezsanchez,Tonisanchezsanc,dimite el presidente de   tras el escándalo de las emisiones de gases ,amsterdam,99.0
118,Wed Sep 23 15:41:27 +0000 2015,,7.0,6.467109775058493e+17,es,,Economia Actual,Economia_Actual,economia soria expresa a   su preocupación y le pide información ,london,1510.0
119,Wed Sep 23 15:41:27 +0000 2015,- el valvu me vakea -,92.0,6.467109775813509e+17,es,,ArtistaUrbano,PapiLince,dimite el presidente de   tras el escándalo de manipulación de emisiones en eeuu: fráncfo el presi ,la paz,1570.0
120,Wed Sep 23 15:41:27 +0000 2015,im not crazy  im just a little unwell...#twitteraddict :),18.0,6.467109793932861e+17,es,san salvador,Claudia Ramírez,ClaudiiaaRa_,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,central time (us & canada),21.0
121,Wed Sep 23 15:41:27 +0000 2015,titulares de noticias en tiempo real,254.0,6.467109812555407e+17,es,sevilla españa ,Ozuquepasa,ozuquepasa,actualidad dimite el presidente de   tras el escándalo de las emisiones de gases ,madrid,257.0
122,Wed Sep 23 15:41:28 +0000 2015,creyente de la santa dolencia de las causas aún no perdidas,104.0,6.467109825559101e+17,es,,Aluis,aluishergaban, y que pague las consecuencias tiene nómina para ello ,amsterdam,132.0
123,Wed Sep 23 15:41:28 +0000 2015,informando #noticias de #españa y del #mundo:#politica #economia #deportes #tecnologia #cultura #virales #curiosidades y más.,19339.0,6.467109827570811e+17,es,españa,Informativo España,tuitNoticiass,huffingtonpost dimite el presidente de   tras el escándalo de las emisiones de gases ,quito,19664.0
124,Wed Sep 23 15:41:28 +0000 2015,mi familia=mi vida,19.0,6.467109851562271e+17,es,el salvador,Crisitan Castro,CastroCrisitan,el director ejecutivo de   dimite en medio del escándalo por la manipulación de emisiones: ,,20.0
