,id,location,country_code,latitude,longitude
186,646715319596138497,Vera,AR,-29.4593,-60.21261
187,646715374424031232,Vera,AR,-29.4593,-60.21261
188,646715375220977665,Vera,AR,-29.4593,-60.21261
189,646715376949051392,Vera,AR,-29.4593,-60.21261
190,646714087519354880,Valle Hermoso,AR,-31.11732,-64.48084
191,646711532781486080,Toledo,AR,-31.555740000000004,-64.00947
192,646712040518778880,Toledo,AR,-31.555740000000004,-64.00947
193,646712546221760512,Toledo,AR,-31.555740000000004,-64.00947
194,646715062602887168,Toledo,AR,-31.555740000000004,-64.00947
195,646715077190635524,Toledo,AR,-31.555740000000004,-64.00947
196,646713110099685376,Tama,AR,-30.50798,-66.5298
197,646714087519354880,Tama,AR,-30.50798,-66.5298
198,646710529990500354,Selva,AR,-29.76776,-62.0477
199,646710746844372994,Santiago del Estero,AR,-27.79511,-64.26149000000001
200,646714185804460032,Santa Clara,AR,-24.30921,-64.66253
201,646711495682822144,San Salvador de Jujuy,AR,-24.19457,-65.29711999999999
202,646713624199856128,San Pedro,AR,-27.95386,-65.16651
203,646713624199856128,San Pedro,AR,-24.23127,-64.86614
204,646710973856804864,San Luis,AR,-33.29501,-66.33563000000001
205,646711192359071744,San Luis,AR,-33.29501,-66.33563000000001
206,646712507172790272,San Lorenzo,AR,-32.74341,-60.73613
207,646711655502610432,San Juan,AR,-31.5375,-68.53639
208,646713116114325506,San José,AR,-28.38333,-65.7
209,646713124360482817,San José,AR,-28.38333,-65.7
210,646711019742498816,San Francisco,AR,-31.42797,-62.08266
211,646712174468071424,San Cristóbal,AR,-30.31053,-61.23724
212,646713127795560448,San Cristóbal,AR,-30.31053,-61.23724
213,646714251751653377,San Cristóbal,AR,-30.31053,-61.23724
214,646713684098686976,San Carlos,AR,-31.17761,-65.10245
215,646713689693900800,San Carlos,AR,-31.17761,-65.10245
216,646713684098686976,San Carlos,AR,-25.88618,-65.92941
217,646713689693900800,San Carlos,AR,-25.88618,-65.92941
218,646710861042708480,Rosario,AR,-32.94682,-60.63932
219,646711840664240128,Rosario,AR,-32.94682,-60.63932
220,646712574713704448,Rosario,AR,-32.94682,-60.63932
221,646714262849720320,Rosario,AR,-32.94682,-60.63932
222,646711603677696000,Oliva,AR,-32.04158,-63.56978
223,646712586285772800,Oliva,AR,-32.04158,-63.56978
224,646713095352655872,Molinos,AR,-25.4395,-66.29126
