id,created_at,name,screen_name,verified,followers_count,friends_count,text,description,lang,time_zone,location
646712595051905025,Wed Sep 23 15:47:52 +0000 2015,Noticias EU Latino,estadosunidosla,False,2486,2684,“volkswagen necesita un nuevo comienzo”: ceo renuncia tras escándalo http://t.co/1uw2bxusyb,noticias estados unidos latino política finanzas espectáculos computo deportes,es,NULL,
646712596284968960,Wed Sep 23 15:47:52 +0000 2015,Chilevisión Noticias,chvnoticiascl,False,18767,1390,renunció presidente de volkswagen tras escándalo que afectó a 11 millones de autos ► http://t.co/tcnoiu2txo http://t.co/svxzcjfs56,twitter oficial de chilevisión noticias.,es,NULL,inés matte urrejola 0890  
646712597211926528,Wed Sep 23 15:47:53 +0000 2015,robinson quishpi,rob7_bsc,False,178,489,rt @portafolioco: #atención renuncia el presidente de volkswagen tras el escándalo de manipulación http://t.co/ujubme2kj9 http://t.co/ktoe0…,estudiante de comunicacion social joven enprendedor por la vida,es,lima,guayaquil
646712597581045760,Wed Sep 23 15:47:53 +0000 2015,Manuel G. Cerpa,mangcer,False,252,99,rt @portafolioecpe: [#urgente] #renunció el presidente de #volkswagen por escándalo de emisiones  ► http://t.co/890rhbgwku http://t.co/esdc…,política  agroindustria  ingeniería química. green chemistry  sostenibilidad. ni de derechas  ni de izquierdas  ni de arriba  ni de abajo  sino de bien adentro.,es,lima,moquegua  perú
646712599661424640,Wed Sep 23 15:47:53 +0000 2015,El Progreso de Lugo,elprogreso_Lugo,False,15248,181,dimite martin winterkorn  presidente de volkswagen  por el escándalo de las emisiones de gas http://t.co/pefl1swlg1 http://t.co/nf6rjcwcc1,twitter oficial de el progreso. somos tu diario de lugo desde 1908. ahora puedes seguirnos también por http://www.facebook.com/elprogresodelugo,es,NULL,lugo  galicia  españa
646712603218042881,Wed Sep 23 15:47:54 +0000 2015,Diario CÓRDOBA,CORDOBA_diario,False,38066,474,el presidente de volkswagen  martin winterkorn  presenta su dimisión: el escándalo de las emisiones gfalsas pr... http://t.co/wcckor9fph,NULL,es,madrid,córdoba
646712603616612352,Wed Sep 23 15:47:54 +0000 2015,Lorena Cano,LorenaCan0,False,562,867,y al final  dimitió.  https://t.co/wbi2xldhgb,periodista / journalist. ahora en @cordoba_inter. mis historias en oxímoron.,es,greenland,madrid (españa)
646712606074503169,Wed Sep 23 15:47:55 +0000 2015,Financiera FP,FinancieraFP,False,347,299,wolfsburgo  la ciudad de volkswagen  teme acabar como el 'detroit europeo' - http://t.co/73vlgngths - el escándalo del fraude en las emis…,NULL,es,belgrade,
646712607122939905,Wed Sep 23 15:47:55 +0000 2015,Sonia,RodriguezOrtizS,False,73,58,el presidente de volkswagen  martin winterkorn  presenta su dimisión: el escándalo de las emisiones gfalsas pr... http://t.co/3xdtlblz6s,estudiante de comunicación audiovisual. twitter dedicado a las prácticas.,es,amsterdam,
646712607987081216,Wed Sep 23 15:47:55 +0000 2015,Diario Cambio,Diario_Cambio,False,36386,15449,escándalo volkswagen méxico también debe investigar http://t.co/xee7mcdnzm,periódico líder en información política. contamos con los columnistas mejor informados. los políticos tienen el poder  pero nosotros la verdad.,es,mexico city,
